img,adj1,adj2,adj1not,adj2not,feature1,feature2,num_objs1,num_objs2,position,obj1shape, obj1color,obj1pattern,obj2shape, obj2color,obj2pattern,obj3shape, obj3color,obj3pattern
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0029.jpg,square,green,circle,blue,shape,color,3,3,1,square,green,solid,square,green,solid,square,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0030.jpg,circle,green,square,blue,shape,color,3,3,1,circle,green,solid,circle,green,solid,circle,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0031.jpg,green,square,blue,circle,color,shape,3,3,3,square,green,solid,square,green,solid,square,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0032.jpg,green,striped,blue,dotted,color,pattern,3,3,2,cloud,green,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0033.jpg,green,square,blue,circle,color,shape,3,3,3,square,green,solid,square,green,solid,square,green,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0034.jpg,square,blue,circle,green,shape,color,3,3,2,square,blue,solid,square,blue,solid,square,blue,solid
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0035.jpg,striped,blue,dotted,green,pattern,color,3,3,3,cloud,blue,striped,cloud,blue,striped,cloud,blue,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0036.jpg,circle,striped,square,dotted,shape,pattern,3,3,2,circle,red,striped,circle,red,striped,circle,red,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0037.jpg,green,striped,blue,dotted,color,pattern,3,3,3,cloud,green,striped,cloud,green,striped,cloud,green,striped
http://langcog.stanford.edu/expts/simple_pragmatics/type1-03-Oct-2011-03-Oct-2011-cond1-img0038.jpg,circle,blue,square,green,shape,color,3,3,3,circle,blue,solid,circle,blue,solid,circle,blue,solid
